dataset,num_classes,num_train_samples,num_test_samples,vae_best_acc,vae_best_f1,classifier_best_acc,classifier_best_f1,classifier_augmented_step_0_best_acc,classifier_augmented_step_0_best_f1,vae_augmented_step_1_best_acc,vae_augmented_step_1_best_f1,classifier_augmented_step_1_best_acc,classifier_augmented_step_1_best_f1,vae_augmented_step_2_best_acc,vae_augmented_step_2_best_f1,classifier_augmented_step_2_best_acc,classifier_augmented_step_2_best_f1,vae_augmented_step_3_best_acc,vae_augmented_step_3_best_f1,classifier_augmented_step_3_best_acc,classifier_augmented_step_3_best_f1,vae_augmented_step_4_best_acc,vae_augmented_step_4_best_f1,classifier_augmented_step_4_best_acc,classifier_augmented_step_4_best_f1,vae_augmented_step_5_best_acc,vae_augmented_step_5_best_f1,classifier_augmented_step_5_best_acc,classifier_augmented_step_5_best_f1,vae_augmented_step_6_best_acc,vae_augmented_step_6_best_f1,classifier_augmented_step_6_best_acc,classifier_augmented_step_6_best_f1,vae_augmented_step_7_best_acc,vae_augmented_step_7_best_f1,classifier_augmented_step_7_best_acc,classifier_augmented_step_7_best_f1,vae_augmented_step_8_best_acc,vae_augmented_step_8_best_f1,classifier_augmented_step_8_best_acc,classifier_augmented_step_8_best_f1,execution_time,alpha
EOGVerticalSignal,12,362,362,0.8448503140298111,0.8061877009794102,0.8758377361276226,0.8471320386246084,0.8000577084086089,0.7387638780013914,0.7667707920113588,0.7997605239583012,0.8064784175389451,0.7376272466848772,0.7832554738671971,0.8006873853705067,0.8100482963576296,0.7571236703169201,0.7819903922729035,0.8084063564555107,0.8101096458753786,0.7333733755131827,0.7910626424673787,0.8086423860842763,0.7939816508951411,0.7475191207504623,0.792821418193143,0.7991610737656557,0.8167659126845821,0.7783449066587752,0.8284298889990399,0.8211261782611121,0.8536217120178767,0.7894874710088334,0.8095359817291761,0.8275136834623141,0.8433215697130299,0.7773437232440006,0.7956491175599747,0.8074924361631564,0.8674053722840191,0.7932981235842815,2.2834777729909392,2.0
EOGVerticalSignal,12,362,362,0.8397380964566044,0.8229993171119911,0.896683301057318,0.8330446791041151,0.6700868641095522,0.7760043853244958,0.8462435054170496,0.8080235819550479,0.6795050443349728,0.7776528874258242,0.8629704026265343,0.8046826861496627,0.6828620468816458,0.791048051686154,0.8431802874865607,0.8084925106656119,0.7000800970801287,0.7966133482300373,0.8507643484915511,0.8349734822843112,0.6865521827008457,0.791981483032862,0.8847009900839728,0.7995063024418373,0.7105802130264984,0.8016503960173775,0.8637850831636263,0.8154047225498768,0.65302759658411,0.8131318816098211,0.862007703076389,0.8198969337782605,0.7389257044602983,0.7888936292699874,0.859349575152068,0.8115170817286534,0.6535483779777567,0.7979028148451787,1.0604415163116,2.5
EOGVerticalSignal,12,362,362,0.8343473499052071,0.8753224405527137,0.8697701349626434,0.820519621171974,0.7310201471320766,0.8464740476240868,0.8601400830206808,0.7067976740346742,0.735689181960795,0.855683062732709,0.8590627641605669,0.7045350591751814,0.7373376659076151,0.8579614171299832,0.8527039850748168,0.7118565893765992,0.7329292180209733,0.8405678740276165,0.8633224781384836,0.7411647114815992,0.7438680145111161,0.8754780127317354,0.8816955162800418,0.7108973468756744,0.7664550127172106,0.8921529234244507,0.8486310048555652,0.76442435534086,0.7309675623563534,0.8908369129223179,0.8715890151168423,0.7134057365457848,0.8000983091451082,0.8846443132555025,0.8497662552704788,0.7784086708007425,0.809964049033188,0.8445258311372271,0.6390702487792288,3.0
EOGVerticalSignal,12,362,362,0.8557883361511711,0.8554462174338724,0.8755327086967891,0.8272489832570253,0.8770627749595012,0.6713884367709594,0.8587508950990144,0.7957999598589969,0.8740826451353023,0.670019872850695,0.8735092385108326,0.7905688892323609,0.8850155139693788,0.6796346382418348,0.8652869668651754,0.8070027501458306,0.8716528752133949,0.6701702315857608,0.8785914942836462,0.8135667268725874,0.8925310462871602,0.6767082865453069,0.8904090908554779,0.826998648262958,0.9241700001346709,0.6614990218913067,0.9037755403800738,0.8379266933185324,0.8812914139791759,0.6933723888321879,0.858029056333164,0.7768559385394106,0.9017503319164876,0.7378100515874855,0.8593382487986239,0.819187220532178,0.9008786405835374,0.6514062022116942,0.6437502025642912,3.5
EOGVerticalSignal,12,362,362,0.8503662240037941,0.8240360860855489,0.8106690787957568,0.820254602423102,0.6918729707424314,0.8984417864796872,0.8936251279074834,0.7044918536328244,0.6937129143868574,0.9012835298685041,0.8986025979352597,0.70853263875736,0.7037867916118137,0.8947467517899971,0.9130440109667765,0.7203063894953252,0.7152437909790322,0.9267507148002588,0.9101669690329086,0.7152594090205503,0.7299581603678035,0.9060983884096858,0.9287686925523677,0.7047388269052578,0.7197894083236084,0.9220244567381514,0.9001897510710447,0.7600878998751265,0.7444110660762524,0.8910262411744855,0.9579432147677158,0.7336134910338242,0.7204855388550325,0.8870233034490024,0.9029252006626839,0.6788510770052811,0.7239475704446982,0.9152391013609745,2.246987108550817,4.0
EOGVerticalSignal,12,362,362,0.8526504147913163,0.8846282692372193,0.8669159356834392,0.820107215838723,0.7992256370692419,0.8708467567029222,0.7862950979120634,0.8679789409007544,0.8044486550360146,0.8753221408711757,0.7931094250786221,0.8710564226369788,0.8018030975988509,0.8825897728356683,0.79113897137833,0.8763097551469725,0.7958382336986486,0.9002771420890157,0.7866486467586042,0.8463395624006105,0.8168018613170985,0.8816354200900888,0.7704638577690717,0.8578791963979752,0.8207407260818022,0.9127715642472689,0.7684118728067622,0.8699911392536283,0.8074998439778488,0.9262927105596044,0.8405065943682045,0.9122383111444192,0.8160240035140233,0.8996008609768587,0.826541368777835,0.8617400638109567,0.7760638460148891,0.848146999611104,1.818357938639164,4.5
PigArtPressure,52,105,208,0.889700530374668,0.8344428350116765,0.8480443516126077,0.8937260441684919,0.8048374584465834,0.8479860218671692,0.7527938945129121,0.7216208349089064,0.8057888209417863,0.851460278354915,0.7564354924715117,0.7226230634256164,0.802126581652656,0.8482469179159134,0.7760594222952131,0.7208334372082587,0.8092912412805523,0.8668027445595189,0.7705616704636268,0.7072112074662033,0.8061576065161846,0.8865455538758075,0.7659230652940231,0.7260431731026912,0.79083870881766,0.8825864807144942,0.7456267684071051,0.7686659523128191,0.7898858785189927,0.8312064431302059,0.7653756592256257,0.736267693391525,0.8566200433538638,0.9156276633712824,0.8062581778405098,0.7156475579603903,0.7994027777951074,0.8572383251752699,1.7108464234904055,1.0
PigArtPressure,52,105,208,0.8849844312939182,0.8193410918613281,0.8284212943621676,0.8037115359683592,0.7941870046709123,0.8667760167462303,0.7930799786498043,0.8216963951608469,0.8003327946059023,0.8697278416885368,0.7975848439003574,0.8162592861163223,0.79813734374099,0.8632711006157119,0.8178045397636861,0.8230639764198928,0.8222272089470067,0.8657068369178664,0.7994694259629983,0.825638709839226,0.8170394063648173,0.8724290379730432,0.7933524873126162,0.8655172865404123,0.8158220019361986,0.8681552381861348,0.8251249777761831,0.8279555011788063,0.840443045407875,0.8565764648888152,0.8456692073544848,0.8432265225576607,0.7818329467789953,0.9005151354129611,0.8603591184392057,0.8223293874582146,0.81285917200562,0.881140508012281,1.840143285355116,1.5
PigArtPressure,52,105,208,0.8774715678563256,0.8364895226507681,0.8397317860046402,0.806430436290428,0.7964603470336077,0.6667186537528381,0.7292650300739216,0.758503399112036,0.7941917992697173,0.669945631197964,0.7246486745955328,0.7566281034847525,0.7927597283592074,0.6676757559738793,0.7428826495260613,0.7848048985215441,0.8084196265866648,0.6781160848198942,0.736746415704806,0.7555815352684123,0.8165751477813056,0.6802637281290285,0.751246473441694,0.7891489557254766,0.8403582551518477,0.6954539731720756,0.7121716356934428,0.7734316422822695,0.7878857819827432,0.6875386525787645,0.7116599687680856,0.7428519479908406,0.8609843439288313,0.684789679500431,0.779612229539016,0.7726462503213007,0.867557276118081,0.6651666813455421,1.0751507525222068,2.0
PigArtPressure,52,105,208,0.8154802168414077,0.828002718063621,0.8583716884051238,0.8020784805377021,0.8337232410661333,0.7467527426789542,0.8512226256133428,0.8732570298884452,0.8391721736683017,0.7558208734186335,0.8528152736573374,0.8790435689043236,0.8456934209063091,0.7463334318876408,0.8543549090555117,0.9010300216215003,0.8333671107880339,0.7761414452209233,0.857735089704648,0.8934057741327445,0.8259200257295962,0.7381386594349112,0.842082286901398,0.8961664962989836,0.8787495406095827,0.7847891897999619,0.8739227541505913,0.8700796650387037,0.8573683457932335,0.75196427414685,0.8453666371017307,0.868510327985714,0.8223111728886894,0.7614848702168172,0.8674128219807494,0.8674973871270418,0.8957294639091589,0.7666785095605584,2.195191974624236,2.5
