dataset,num_classes,num_train_samples,num_test_samples,vae_best_acc,vae_best_f1,classifier_best_acc,classifier_best_f1,classifier_augmented_step_0_best_acc,classifier_augmented_step_0_best_f1,vae_augmented_step_1_best_acc,vae_augmented_step_1_best_f1,classifier_augmented_step_1_best_acc,classifier_augmented_step_1_best_f1,vae_augmented_step_2_best_acc,vae_augmented_step_2_best_f1,classifier_augmented_step_2_best_acc,classifier_augmented_step_2_best_f1,vae_augmented_step_3_best_acc,vae_augmented_step_3_best_f1,classifier_augmented_step_3_best_acc,classifier_augmented_step_3_best_f1,vae_augmented_step_4_best_acc,vae_augmented_step_4_best_f1,classifier_augmented_step_4_best_acc,classifier_augmented_step_4_best_f1,vae_augmented_step_5_best_acc,vae_augmented_step_5_best_f1,classifier_augmented_step_5_best_acc,classifier_augmented_step_5_best_f1,vae_augmented_step_6_best_acc,vae_augmented_step_6_best_f1,classifier_augmented_step_6_best_acc,classifier_augmented_step_6_best_f1,vae_augmented_step_7_best_acc,vae_augmented_step_7_best_f1,classifier_augmented_step_7_best_acc,classifier_augmented_step_7_best_f1,vae_augmented_step_8_best_acc,vae_augmented_step_8_best_f1,classifier_augmented_step_8_best_acc,classifier_augmented_step_8_best_f1,execution_time,alpha
EOGVerticalSignal,12,362,362,0.8333332268053093,0.8996921701529584,0.8364244914767542,0.8576830655670445,0.860112864908706,0.8670270741691493,0.8881813522653978,0.7894027040714544,0.8679374815033625,0.8675265335086798,0.8883264317729738,0.8016955684304897,0.8716471914135183,0.8722685443293505,0.9065383488813824,0.8091493373649459,0.8850997311035229,0.876870203225973,0.9047634370342048,0.779172555078377,0.8893514673360404,0.8765003877650696,0.9335050079061473,0.7837187317620887,0.8771423457210239,0.888107755402654,0.8943824417347953,0.7818272066672146,0.8628813292513472,0.9065624869647326,0.9047936073858462,0.7856992760078906,0.8586732246935393,0.8481272881073063,0.8855303684003805,0.8625860764866745,0.8586996922920664,0.9084192915881297,0.8465946137457849,2.0
EOGVerticalSignal,12,362,362,0.8252919689045597,0.8547325646370256,0.8107888626734372,0.8960590115479583,0.809551196965966,0.8824774546537564,0.7850640095211369,0.84139844265682,0.8096230839601207,0.8908352282767923,0.7964038833476492,0.833840464590106,0.8228018031223632,0.8961855323002259,0.8018731459921524,0.8542491793640345,0.821440086064119,0.8965991268059953,0.8184285997736096,0.872122695312541,0.8118228901538216,0.9010666908896138,0.7688250405925319,0.840163048576302,0.8152892715365837,0.8731292899692372,0.8364357742552772,0.8630123756277135,0.843330080798209,0.899910796840922,0.8430166329648656,0.8448836844049855,0.8732951650568181,0.8716148329953729,0.835896076400734,0.8584436657407927,0.841370567449926,0.8794771714058486,2.324434167740834,2.5
EOGVerticalSignal,12,362,362,0.8582869852598813,0.8127324934137348,0.8337726947074083,0.884480094612206,0.7869956263404643,0.8464440796323464,0.8426648652521805,0.8970480679094214,0.7969806435254038,0.8493160790055969,0.8613705363670658,0.9135478297352825,0.8064502411335891,0.8444872181676627,0.8409681654461643,0.8881653678399113,0.7947274519973496,0.8759178821298945,0.8578029035924785,0.8928148953865168,0.7825358668049135,0.8586954033883131,0.8451326594884676,0.8941194673442339,0.8057690196714626,0.8534871132174237,0.8691307523425214,0.8999201257910513,0.8454955437406236,0.9043747085398596,0.849380750845501,0.9359825074013776,0.7937604104787238,0.8875111244000179,0.9178842509877799,0.9056909536265068,0.8050159747089829,0.8818364137572122,1.381352695120095,3.0
EOGVerticalSignal,12,362,362,0.867711432671028,0.8787375392654436,0.8435597699930961,0.8663157006211168,0.8999480681233502,0.8476759947476078,0.8533093282919385,0.8184844642111091,0.9056782123028089,0.8503303529351911,0.863946261919376,0.8202438451146264,0.8996319622950484,0.8629009365324376,0.8574745067129983,0.8137431341227286,0.9012063335380988,0.8672049237320525,0.8596287690491381,0.8462847736140876,0.9189425681619247,0.8687459949010491,0.8428338470846156,0.8114604913729373,0.9276272341514546,0.8402677248441731,0.8485895026041168,0.8777230284138418,0.8902087428146667,0.879786712595576,0.9125048358441737,0.8210494862777807,0.9076380076127726,0.8750123640137568,0.8474262731607332,0.84603628477191,0.9685155730547536,0.8662460117502464,2.3976287430944607,3.5
EOGVerticalSignal,12,362,362,0.896536395150937,0.8281815001941261,0.8599635835107029,0.8502515409387649,0.8817814825691744,0.7519039236388729,0.8955643182948904,0.8323459687483444,0.8904874108317917,0.7527011840998717,0.8882998769903742,0.8319264292109131,0.8997367019828585,0.7553756892662477,0.8846148205453497,0.820536882703181,0.8786454861552675,0.7563339276481718,0.9199350108450897,0.818878330876575,0.8912904902487424,0.7841538212867627,0.9325735918856166,0.8552900564100616,0.9242709512405086,0.7377298555068816,0.9121836181705257,0.8357535157894266,0.9200892056548744,0.800593082090996,0.8832985869394168,0.8487425481519486,0.9344863492493823,0.8174368516111157,0.8837773899479657,0.8985939012591748,0.8809340193683902,0.7611309405204199,2.1304801130909716,4.0
EOGVerticalSignal,12,362,362,0.8153320459417318,0.8384898753193568,0.802187881469777,0.8215214926673297,0.6974861744290327,0.7258436517922722,0.7855514551398358,0.856836876818364,0.6974415925350977,0.7330060275827841,0.7931916903295801,0.8677133081979255,0.7138504999735964,0.7370466515272398,0.7782537569519876,0.8630050895513226,0.6930244101336429,0.7195126393336903,0.7885380506874144,0.8740247084322018,0.7349453562796473,0.7500100611254302,0.7879794809879342,0.8584157747670033,0.7117807606688483,0.7458985343725434,0.7861049489741719,0.862393488560777,0.7231902059205884,0.7294522544852089,0.8480878721912516,0.9182774003827461,0.7615214384008744,0.7615016786200516,0.7826175688433632,0.8440882287133888,0.6746658196256514,0.7037363003568329,2.1116812709081705,4.5
PigArtPressure,52,105,208,0.8959033119185662,0.8798824704551566,0.860973489100366,0.8740885806358014,0.7434737090629403,0.7325510802447085,0.797254902492347,0.7662992078211048,0.7492994346360209,0.7415500262634314,0.797237853380076,0.7824649186954922,0.7412154145384419,0.7330306972605758,0.8052332945910723,0.7799759503806868,0.7703998070726521,0.7379800563147542,0.7921250860629522,0.7574797280568412,0.7459422941231156,0.7569241861240822,0.7745616286596816,0.7562295057664306,0.7350209357807502,0.7800997569445088,0.8235152233932342,0.7978377351709893,0.7832856342775915,0.7404171453885827,0.7814780830189673,0.8255529559807847,0.7693890741319128,0.7178201269796797,0.8369086595910541,0.7725353911242072,0.7669589152578888,0.7475276562267412,1.3723793495547774,1.0
PigArtPressure,52,105,208,0.8396134242643261,0.812199903200643,0.8561446389917362,0.8703625019275375,0.880705261305185,0.8185269699225612,0.7935875735454918,0.9025374783356617,0.8779450060323724,0.8255926847213103,0.8104837977457727,0.9144493082975139,0.8768491609125633,0.820304946786176,0.8081357392647396,0.9091222210630013,0.897358488194063,0.8450706136347528,0.7912290043053473,0.9284285828433074,0.9003655375876063,0.8198610589289189,0.823018372975307,0.9438133862593245,0.8900075666926748,0.8502550106531456,0.7862820224017764,0.9536729834823584,0.9290579246186234,0.8295255339191528,0.8381597211561622,0.8862947624882457,0.9386870513795798,0.8129254093436914,0.8241294826299392,0.9115796967030158,0.8677351036350789,0.81277027196536,2.464875071247178,1.5
PigArtPressure,52,105,208,0.8499611583214663,0.8224220687257422,0.8467613219212821,0.8478630451702249,0.7457713347555319,0.8187568110973282,0.676941492633173,0.6884089284176106,0.7445916040816521,0.8206814826394421,0.6859417025467742,0.7041633985530547,0.7557056981245325,0.8140894987489663,0.6684874865372166,0.6983689069886037,0.7684980781824816,0.8203170738078785,0.7110773280606496,0.7034128782235186,0.7475910917882725,0.8447341800975336,0.7185486568487096,0.6743829676357129,0.7863776773922833,0.8303954136415633,0.680649778233713,0.7163445201816824,0.777570013530042,0.8657346491639281,0.661785025754601,0.7120276366243591,0.8026686039526193,0.8426187905010867,0.7495333449891259,0.667360807534114,0.7836963977023605,0.8622182777266622,0.9794244141900539,2.0
PigArtPressure,52,105,208,0.8685457663125664,0.8312648456507159,0.8619371723450925,0.8636164934082697,0.8299321080561392,0.7627556212327902,0.8654839375707185,0.8324616942819275,0.834959820228045,0.7633101128930143,0.8678485972762044,0.8350770604733491,0.8309760154148875,0.762238831101646,0.862746534206393,0.8261443625605003,0.839811577830878,0.7797758198327389,0.8962079382279,0.8397820274077571,0.826560128933227,0.7641810645900676,0.8912862983416731,0.8649183019064278,0.8379886859183875,0.7564277097867651,0.9170901304770194,0.8598314829167695,0.8340600587659767,0.7870837924537282,0.8990992940990005,0.8204765451307942,0.8699646334679091,0.7489844002406496,0.9185792541704748,0.9088234085992017,0.8956935653279107,0.8012142250089314,0.6560069133511077,2.5
